user_id,locale,birthyear,gender,joinedAt,location,timezone
0,en_US,1974.0,male,2012-04-13 01:06:25.740,,-480.0
1,en_US,1981.0,male,2012-04-13 01:07:42.548,,-480.0
2,en_US,1988.0,female,2012-04-13 01:08:36.642,,-420.0
3,en_US,1980.0,male,2012-04-13 01:14:56.822,,-420.0
4,en_US,1987.0,male,2012-04-13 01:25:17.690,,-480.0
5,en_US,1966.0,male,2012-04-13 04:10:06.194,,-480.0
6,en_US,1967.0,male,2012-04-13 04:14:51.063,,-480.0
7,en_US,1990.0,male,2012-04-13 11:39:19.251,,-480.0
8,en_US,1980.0,male,2012-04-13 20:03:25.028,,-420.0
9,en_US,1967.0,male,2012-04-13 20:12:57.161,,-480.0
10,en_US,1989.0,male,2012-04-13 20:35:49.453,,-420.0
11,en_US,1978.0,male,2012-04-13 20:58:11.250,,-480.0
12,en_US,1993.0,female,2012-04-13 21:50:04.741,,-360.0
13,en_US,1987.0,,2012-04-13 22:10:09.341,,-480.0
14,en_US,1985.0,male,2012-04-14 16:03:07.031,,-360.0
15,en_US,1984.0,female,2012-04-14 16:26:58.842,,-360.0
16,en_US,1979.0,male,2012-04-14 16:54:48.166,,-240.0
17,en_US,1993.0,female,2012-04-14 18:48:40.097,,-360.0
18,en_US,1989.0,female,2012-04-14 19:33:17.304,,-360.0
19,ru_RU,1978.0,male,2012-04-14 20:35:14.625,,-360.0
20,en_US,1982.0,female,2012-04-14 20:47:43.358,,-360.0
21,en_US,1985.0,female,2012-04-14 23:25:44.552,,360.0
22,en_US,1979.0,male,2012-04-15 00:01:44.787,,-360.0
23,en_US,1985.0,male,2012-04-15 03:41:49.259,,-360.0
24,it_IT,1982.0,female,2012-04-15 04:29:54.054,,120.0
25,en_US,1993.0,female,2012-04-15 05:47:16.947,,-180.0
26,en_US,1973.0,,2012-04-15 18:23:40.968,,-360.0
27,es_LA,1970.0,male,2012-04-15 18:57:59.690,,-360.0
28,en_US,1971.0,,2012-04-15 19:31:31.405,,-360.0
29,en_US,1970.0,male,2012-04-15 22:14:23.407,,-420.0
30,en_US,1968.0,male,2012-04-16 01:36:07.473,,-360.0
31,en_US,1974.0,female,2012-04-16 03:41:46.931,,-240.0
32,es_LA,1991.0,female,2012-04-16 06:05:04.281,,-240.0
33,en_GB,1977.0,female,2012-04-16 15:28:42.867,,-360.0
34,en_GB,1977.0,female,2012-04-16 18:11:39.715,,-360.0
35,en_US,,male,2012-04-17 17:03:15.811,,-360.0
36,en_US,1978.0,male,2012-04-17 17:33:26.399,,-300.0
37,en_US,1986.0,male,2012-04-17 18:12:37.017,,-420.0
38,en_US,,female,2012-04-17 20:28:54.895,,-360.0
39,en_US,,male,2012-04-17 20:30:59.542,,-360.0
40,en_US,,female,2012-04-17 20:33:43.885,,-360.0
41,en_US,1987.0,male,2012-04-17 20:44:35.417,,-420.0
42,en_US,,male,2012-04-17 20:45:40.188,,-360.0
43,en_US,,male,2012-04-17 20:49:58.372,,-420.0
44,en_US,,male,2012-04-17 21:00:08.215,,-420.0
45,en_US,,male,2012-04-17 21:11:13.702,,-420.0
46,zh_TW,,female,2012-04-17 21:12:59.843,,-360.0
47,en_US,,male,2012-04-17 21:13:37.829,,-360.0
48,en_US,,female,2012-04-17 21:13:41.926,,-240.0
49,pt_BR,,male,2012-04-17 21:13:59.410,,-180.0
50,en_US,,male,2012-04-17 21:17:07.302,,-360.0
51,en_US,,female,2012-04-17 21:19:14.889,,-420.0
52,en_US,,male,2012-04-17 21:20:20.538,,-240.0
53,en_US,,female,2012-04-17 21:22:07.984,,-240.0
54,en_US,,male,2012-04-17 21:23:44.967,,-360.0
55,en_US,,male,2012-04-17 21:23:46.654,,-420.0
56,en_US,,male,2012-04-17 21:27:57.672,,-420.0
57,en_US,,male,2012-04-17 23:58:14.381,,-420.0
58,en_US,,female,2012-04-18 03:05:39.462,,-360.0
59,es_LA,,male,2012-04-18 04:09:16.588,,-300.0
60,en_US,,female,2012-04-18 04:14:53.309,,360.0
61,en_US,,female,2012-04-18 06:17:20.964,,-360.0
62,en_US,,male,2012-04-18 16:13:59.657,,-360.0
63,en_US,1991.0,female,2012-04-18 18:12:47.667,,-360.0
64,en_US,,male,2012-04-18 22:26:08.595,,-360.0
65,en_US,,male,2012-04-18 22:55:27.505,,-240.0
66,en_GB,,female,2012-04-18 22:55:30.249,,-360.0
67,en_US,,female,2012-04-18 23:00:30.437,,-420.0
68,en_US,,male,2012-04-18 23:00:49.925,,-360.0
69,en_US,,male,2012-04-18 23:00:53.961,,-360.0
70,en_US,,female,2012-04-18 23:02:01.777,,-360.0
71,en_US,,female,2012-04-18 23:04:48.279,,-360.0
72,en_US,,male,2012-04-18 23:08:29.796,,-420.0
73,en_US,,male,2012-04-18 23:08:53.671,,-360.0
74,en_US,,male,2012-04-18 23:10:11.683,,-420.0
75,en_US,,female,2012-04-18 23:11:33.682,,-360.0
76,en_US,,female,2012-04-18 23:33:42.879,,-360.0
77,en_US,,male,2012-04-18 23:57:43.161,Fort McMurray  Alberta,-420.0
78,en_US,,female,2012-04-19 00:19:06.893,,-360.0
79,en_US,,male,2012-04-19 01:06:07.385,,-360.0
80,fr_FR,,female,2012-04-21 00:50:41.168,,-300.0
81,en_US,,female,2012-04-21 01:05:32.287,,-240.0
82,zh_TW,,male,2012-04-21 01:29:43.461,,-240.0
83,hr_HR,,male,2012-04-21 01:38:37.010,,120.0
84,en_US,,male,2012-04-21 01:54:30.631,,-240.0
85,en_US,,male,2012-04-21 02:09:30.958,,-240.0
86,en_US,,male,2012-04-21 02:25:56.519,,-240.0
87,zh_CN,,female,2012-04-21 03:02:14.109,,-240.0
88,en_US,1990.0,male,2012-04-21 03:12:43.830,,-240.0
89,en_GB,,male,2012-04-21 03:16:45.805,,-240.0
90,en_US,,male,2012-04-21 03:42:32.407,,-240.0
91,en_GB,,female,2012-04-21 03:44:26.531,,-420.0
92,en_US,,male,2012-04-21 03:44:40.220,,-240.0
93,en_US,,male,2012-04-21 03:46:56.254,,180.0
94,en_US,,female,2012-04-21 04:06:04.029,,270.0
95,en_US,,female,2012-04-21 04:23:32.263,,-240.0
96,en_US,,,2012-04-21 04:27:53.436,,-240.0
97,en_US,1905.0,male,2012-04-21 04:36:57.425,,-420.0
98,en_US,1989.0,female,2012-04-21 05:03:47.158,,-240.0
99,en_GB,,female,2012-04-21 05:13:49.934,,-240.0
100,pt_BR,,male,2012-04-21 14:30:56.227,,-180.0
101,en_US,,male,2012-04-21 14:47:00.820,,-240.0
102,en_GB,,female,2012-04-21 15:18:08.085,,-240.0
103,en_US,,male,2012-04-21 16:29:41.081,,180.0
104,en_US,,male,2012-04-21 19:07:17.240,,-240.0
105,en_US,,male,2012-04-22 13:32:14.183,,-240.0
106,en_US,,male,2012-04-22 15:05:16.344,,-300.0
107,en_US,,female,2012-04-22 16:04:14.392,,-240.0
108,en_US,,male,2012-04-22 17:11:16.842,,-360.0
109,en_US,,male,2012-04-22 18:23:51.083,,-240.0
110,en_GB,,male,2012-04-22 19:34:58.104,,-240.0
111,en_US,,female,2012-04-22 20:18:17.447,,-180.0
112,tr_TR,,male,2012-04-22 20:23:22.995,,-420.0
113,ar_AR,,male,2012-04-22 20:52:38.581,,-480.0
114,de_DE,,female,2012-04-22 21:04:15.987,,60.0
115,en_GB,,male,2012-04-22 21:25:28.457,,-240.0
116,en_US,,male,2012-04-22 21:49:32.639,,-240.0
117,en_US,,male,2012-04-22 22:49:23.879,,-240.0
118,en_US,,male,2012-04-22 23:08:56.813,,-240.0
119,en_US,1991.0,male,2012-04-22 23:35:23.469,,-300.0
120,fr_FR,,male,2012-04-22 23:49:33.618,,-240.0
121,en_US,,female,2012-04-23 00:09:18.477,,-240.0
122,en_US,,male,2012-04-23 01:34:55.059,,-240.0
123,fr_CA,,male,2012-04-23 01:39:48.367,,-480.0
124,en_GB,,male,2012-04-23 02:26:44.550,,-300.0
125,en_US,,male,2012-04-23 02:28:37.643,,-240.0
126,cs_CZ,,male,2012-04-23 02:49:32.749,,-240.0
127,en_US,1991.0,male,2012-04-23 03:01:15.224,,-300.0
128,en_US,,male,2012-04-23 03:13:36.625,,-300.0
129,en_US,,female,2012-04-23 03:34:27.156,,-240.0
130,en_US,,male,2012-04-23 03:38:21.436,,-240.0
131,en_US,,male,2012-04-23 04:13:16.163,,-480.0
132,en_US,,female,2012-04-23 04:14:15.266,,180.0
133,en_GB,,male,2012-04-23 04:14:47.490,,-240.0
134,zh_TW,,male,2012-04-23 04:25:19.357,,480.0
135,en_US,,male,2012-04-23 04:26:04.644,,360.0
136,hu_HU,,female,2012-04-23 04:34:40.351,,120.0
137,en_US,,male,2012-04-23 04:43:40.134,,-240.0
138,en_US,,male,2012-04-23 04:58:05.624,,-240.0
139,en_US,,male,2012-04-23 05:17:30.938,,-240.0
140,en_US,,male,2012-04-23 05:52:21.671,,-240.0
141,en_US,,male,2012-04-23 07:21:31.216,,240.0
142,en_US,,male,2012-04-23 07:25:25.504,,-240.0
143,sr_RS,,female,2012-04-23 07:32:48.500,,-240.0
144,en_US,,male,2012-04-23 07:55:14.659,,330.0
145,en_US,,male,2012-04-23 08:03:35.405,,330.0
146,en_US,,female,2012-04-23 08:12:14.575,,-240.0
147,en_US,,male,2012-04-23 08:30:58.584,,-240.0
148,en_US,,female,2012-04-23 09:03:24.230,,-240.0
149,en_GB,,female,2012-04-23 09:27:40.572,,-240.0
150,en_US,,female,2012-04-23 09:36:42.785,,-240.0
151,en_US,,male,2012-04-23 11:13:22.303,,60.0
152,hr_HR,,female,2012-04-23 12:53:22.364,,-240.0
153,ru_RU,,male,2012-04-23 13:07:39.139,,-240.0
154,sq_AL,,female,2012-04-23 14:00:24.735,,-240.0
155,ru_RU,,male,2012-04-23 14:07:03.071,,-240.0
156,bg_BG,,female,2012-04-23 14:44:02.472,,-240.0
157,en_US,,female,2012-04-23 16:37:50.738,,-240.0
158,en_US,,male,2012-04-23 17:50:05.597,,300.0
159,en_US,,female,2012-04-23 17:54:06.573,,-240.0
160,en_US,,male,2012-04-23 17:57:09.671,,-240.0
161,pl_PL,,male,2012-04-23 17:58:41.477,,-240.0
162,en_US,,female,2012-04-23 18:04:19.776,,-240.0
163,en_US,,female,2012-04-23 19:26:05.220,,-420.0
164,en_US,,male,2012-04-23 19:54:30.207,,-240.0
165,hu_HU,,female,2012-04-23 20:17:55.470,,-240.0
166,en_US,,male,2012-04-23 22:10:08.268,,-240.0
